rank_page,word,count_sum,count_mean,rank_page_count,article_count,current_page_count,node_size,first_appear
1,幫助,50,25.0,5,7,2,14.0,1
1,建議,26,13.0,4,5,2,12.5,1
1,微生物,6,6.0,7,9,1,12.857142857142858,1
1,成分,19,19.0,1,1,1,10.0,1
1,技術,7,7.0,2,2,1,10.0,1
1,抗生素,5,5.0,5,5,1,10.0,1
1,挑選,13,13.0,5,6,1,12.0,1
1,排便順暢,5,5.0,1,1,1,10.0,1
1,推薦,60,30.0,2,3,2,15.0,1
1,族群,15,7.5,2,3,2,15.0,1
1,有助,14,14.0,2,2,1,10.0,1
1,有益,7,7.0,2,2,1,10.0,1
1,服用,12,12.0,4,5,1,12.5,1
1,期刊,5,5.0,1,1,1,10.0,1
1,森下仁丹,10,10.0,1,1,1,10.0,1
1,植物乳桿菌,8,8.0,2,2,1,10.0,1
1,機能,25,25.0,1,1,1,10.0,1
1,機能性,5,5.0,1,1,1,10.0,1
1,檢驗,5,5.0,1,1,1,10.0,1
1,比菲德氏菌,5,5.0,4,4,1,10.0,1
1,比較,8,8.0,3,3,1,10.0,1
1,民眾,4,4.0,2,2,1,10.0,1
1,沒效,8,8.0,1,1,1,10.0,1
1,海藻,4,4.0,1,1,1,10.0,1
1,消化道,6,6.0,3,3,1,10.0,1
1,淨美莓,4,4.0,1,1,1,10.0,1
1,添加物,12,12.0,3,3,1,10.0,1
1,減少,4,4.0,3,3,1,10.0,1
1,減肥,4,4.0,2,2,1,10.0,1
1,濃度,7,7.0,1,1,1,10.0,1
1,營養師,16,8.0,2,3,2,15.0,1
1,狀況,9,9.0,2,2,1,10.0,1
1,球菌,7,7.0,6,6,1,10.0,1
1,產品,60,15.0,8,12,4,15.0,1
1,留意,5,5.0,2,2,1,10.0,1
1,異位性皮膚炎,8,8.0,1,1,1,10.0,1
1,發揮,9,9.0,1,1,1,10.0,1
1,發酵,12,12.0,4,5,1,12.5,1
1,益生菌,218,109.0,4,6,2,15.0,1
1,益生菌功效,14,14.0,1,1,1,10.0,1
1,益生菌品牌,5,5.0,1,1,1,10.0,1
1,益生菌好處,6,6.0,1,1,1,10.0,1
1,益生菌推薦,37,9.25,3,7,4,23.333333333333336,1
1,益生質,32,10.666666666666666,7,10,3,14.285714285714286,1
1,益菌,4,4.0,4,5,1,12.5,1
1,研發,5,5.0,1,1,1,10.0,1
1,研究,13,13.0,3,3,1,10.0,1
1,稱為,4,4.0,1,1,1,10.0,1
1,第四代,5,5.0,1,1,1,10.0,1
1,粉劑,8,8.0,1,1,1,10.0,1
1,細菌,4,4.0,6,10,1,16.666666666666668,1
1,維持消化道機能,8,8.0,2,2,1,10.0,1
1,編碼,10,10.0,1,1,1,10.0,1
1,編號,5,5.0,3,4,1,13.333333333333332,1
1,羊奶,5,5.0,1,1,1,10.0,1
1,耐酸,4,4.0,2,2,1,10.0,1
1,耐酸耐鹼,6,6.0,1,1,1,10.0,1
1,胃酸,13,6.5,6,8,2,13.333333333333332,1
1,腸內細菌,5,5.0,1,1,1,10.0,1
1,腸胃,5,5.0,2,2,1,10.0,1
1,腸胃益生菌推薦,5,5.0,1,1,1,10.0,1
1,腸胃道,5,5.0,4,4,1,10.0,1
1,腸道,65,13.0,10,33,5,33.0,1
1,腸道保健,6,6.0,1,1,1,10.0,1
1,腸道益生菌,6,6.0,1,1,1,10.0,1
1,腹瀉,16,16.0,7,8,1,11.428571428571427,1
1,膠原蛋白,5,5.0,1,1,1,10.0,1
1,膳食纖維,14,14.0,5,5,1,10.0,1
1,膽鹽,9,9.0,2,2,1,10.0,1
1,自行,4,4.0,1,1,1,10.0,1
1,菌叢,4,4.0,3,6,1,20.0,1
1,菌數,35,17.5,6,13,2,21.666666666666664,1
1,菌株,77,19.25,9,20,4,22.22222222222222,1
1,菌種,96,19.2,9,26,5,28.88888888888889,1
1,藥品,8,8.0,2,2,1,10.0,1
1,藥師,4,4.0,1,1,1,10.0,1
1,補充,12,12.0,6,9,1,15.0,1
1,複合菌,4,4.0,1,1,1,10.0,1
1,調整,34,11.333333333333334,1,3,3,30.0,1
